0,33229673,33229367
1,33229367,33229398
2,33038317,33038255
3,32867937,32867844
4,32862977,32862899
5,32841504,32841411
6,32834757,32834584
7,32827728,32827609
8,32717410,32717228
9,32716115,32715986
10,32663269,32663080
11,32662430,32662248
12,32632570,32632419
13,32613993,32613873
14,32591963,32591861
15,32591754,32591646
16,32583998,32583818
17,32563451,32563275
18,32536248,32536124
19,32519959,32519871
20,32509635,32509393
21,32503216,32503035
22,32490426,32490280
23,32486827,32486614
24,32482816,32482702
25,32481711,32481555
26,32472949,32472778
27,32466755,32466572
28,32459431,32459296
29,32456507,32456357
30,32430030,32429868
31,32408298,32408187
32,32407791,32407617
33,32404582,32404426
34,32398797,32398626
35,32383316,32383136
36,32382827,32382698
37,32381075,32380904
38,32366645,32366522
39,32364197,32364059
40,32361403,32361250
41,32360399,32360216
42,32328393,32328198
43,32305818,32305645
44,32235180,32235032
45,31986631,31986455
46,31950344,31950196
47,31947862,31947712
48,31893490,31893307
49,31854939,31854834
50,31838200,31838091
51,31792309,31792076
52,31747865,31747747
53,31697703,31697491
54,31676261,31676106
55,31645979,31645789
56,31525570,31525397
57,31515061,31514904
58,31497220,31497099
59,31496491,31496222
60,31462744,31462597
61,31366751,31366672
62,31341775,31341714
63,31279133,31279071
64,31241238,31241163
65,31227816,31227614
66,31224784,31224698
67,31222235,31222077
68,31201021,31200854
69,31198598,31198486
70,31196922,31196785
71,31196087,31196048
72,31191721,31191655
73,31190530,31190464
74,31187718,31187559
75,31165635,31165391
76,31164531,31164407
77,31152311,31152218
78,31144790,31144758
79,31140047,31137344
