0,133054,133296
1,133297,133328
2,324409,324471
3,494789,494882
4,499749,499827
5,521222,521315
6,527969,528142
7,534998,535117
8,645316,645498
9,646611,646740
10,699457,699646
11,700296,700478
12,730156,730307
13,748733,748853
14,770763,770865
15,770972,771080
16,778728,778908
17,799275,799451
18,826478,826602
19,842767,842855
20,853091,853333
21,859510,859691
22,872300,872446
23,875899,876112
24,879910,880024
25,881015,881171
26,889777,889948
27,895971,896154
28,903295,903430
29,906219,906369
30,932696,932858
31,954428,954539
32,954935,955109
33,958144,958300
34,963929,964100
35,979410,979590
36,979899,980028
37,981651,981822
38,996081,996204
39,998529,998667
40,1001323,1001476
41,1002327,1002510
42,1034333,1034528
43,1056908,1057081
44,1127546,1127694
45,1376095,1376271
46,1412382,1412530
47,1414864,1415014
48,1469236,1469422
49,1507790,1507892
50,1524526,1524635
51,1570417,1570650
52,1614861,1614979
53,1665023,1665235
54,1686465,1686620
55,1716747,1716937
56,1837156,1837329
57,1847665,1847822
58,1865506,1865627
59,1866235,1866504
60,1899982,1900129
61,1995975,1996054
62,2020951,2021012
63,2083593,2083655
64,2121488,2121563
65,2134910,2135112
66,2137942,2138028
67,2140491,2140649
68,2161705,2161872
69,2164128,2164240
70,2165804,2165941
71,2166639,2166678
72,2171005,2171071
73,2172196,2172262
74,2175008,2175167
75,2197091,2197335
76,2198195,2198319
77,2210415,2210508
78,2217936,2217968
79,2222679,2225382
