0,33211556,33211281
1,33211281,33211250
2,33020200,33020138
3,32849820,32849727
4,32844860,32844782
5,32823387,32823294
6,32816640,32816467
7,32809611,32809492
8,32699293,32699111
9,32697998,32697869
10,32645152,32644963
11,32644313,32644131
12,32614453,32614302
13,32595876,32595756
14,32573846,32573744
15,32573637,32573529
16,32565881,32565701
17,32545334,32545158
18,32518131,32518007
19,32501842,32501754
20,32491518,32491276
21,32485099,32484918
22,32472309,32472163
23,32468710,32468497
24,32464699,32464585
25,32463594,32463438
26,32454832,32454661
27,32448638,32448455
28,32441314,32441179
29,32438390,32438240
30,32411913,32411751
31,32390181,32390070
32,32389674,32389500
33,32386465,32386309
34,32380680,32380509
35,32365199,32365019
36,32364710,32364581
37,32362958,32362787
38,32348528,32348405
39,32346080,32345942
40,32343286,32343133
41,32342282,32342099
42,32310276,32310081
43,32287701,32287528
44,32217063,32216915
45,31968514,31968338
46,31932227,31932079
47,31929745,31929595
48,31875373,31875190
49,31836822,31836717
50,31820083,31819974
51,31774192,31773959
52,31729748,31729630
53,31679586,31679374
54,31658144,31657989
55,31627862,31627672
56,31507453,31507280
57,31496944,31496787
58,31479103,31478982
59,31478374,31478105
60,31444627,31444480
61,31348634,31348555
62,31323658,31323597
63,31261016,31260954
64,31223121,31223046
65,31209699,31209497
66,31206667,31206581
67,31204118,31203960
68,31182904,31182737
69,31180481,31180369
70,31178805,31178668
71,31177970,31177931
72,31173604,31173538
73,31172413,31172347
74,31169601,31169442
75,31147518,31147274
76,31146414,31146290
77,31134194,31134101
78,31126673,31126641
79,31121930,31119227
